127;968;1216;1858;1192;1330;1077;1138;2164;1413;1488;1963;2084;2123;1817;
968;127;1017;1194;535;695;1301;951;1984;1187;880;1350;1469;1544;1496;
1216;1017;127;1367;1199;1269;1955;1632;2695;1843;1442;1666;1863;2070;2164;
1858;1194;1367;127;1080;875;2128;1410;2230;1683;924;686;999;1552;1693;
1192;535;1199;1080;127;530;1542;951;2099;1184;1824;1386;1666;2310;1663;
1330;695;1269;875;530;127;1527;873;1763;1106;486;956;1077;1104;1216;
1077;1301;1955;2128;1542;1527;127;1077;1732;1051;1685;2150;2254;1994;1520;
1138;953;1632;1410;951;873;1077;127;1396;540;871;1496;1486;1209;902;
2164;1984;2695;2230;2099;1763;1732;1396;127;1162;1661;1907;1814;1192;854;
1413;1187;1843;1683;1184;1106;1051;540;1162;127;1136;1573;1797;1179;761;
1041;880;1442;924;1824;486;1685;871;1661;1136;127;771;902;929;1041;
1963;1350;1666;686;1386;956;2150;1496;1907;1573;771;127;615;1199;1481;
2084;1469;1863;999;1666;1077;2254;1486;1814;1797;902;608;127;963;1282;
2138;1544;2070;1552;2310;1104;1994;1209;1192;1179;929;1199;963;127;647;
1817;1496;2164;1693;1663;1216;1520;902;854;761;1041;1481;1282;647;127;
2534;2247;2972;2432;3215;1989;2099;1654;856;1430;1836;2036;1734;1170;1004;
